City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,chokwe,-24.5333,32.9833,17.37,85,0,1.87,MZ,1714871396
346,male,4.1748,73.5089,29.63,77,46,5.88,MV,1714871396
347,timaru,-44.4,171.25,12.82,77,4,1.34,NZ,1714871396
348,zambezi,-13.5432,23.1047,13.83,64,95,2.37,ZM,1714871396
349,el bauga,18.262,33.9081,24.48,8,0,4.96,SD,1714871396
350,port saint john's,-31.6229,29.5448,21.52,84,100,5.78,ZA,1714871396
351,atasu,48.6814,71.6433,11.85,57,100,4.82,KZ,1714871396
352,boa vista,2.8197,-60.6733,24.66,94,57,2.27,BR,1714871396
353,tulun,54.5611,100.5792,12.31,58,7,3.52,RU,1714871397
354,sola,-13.8833,167.55,27.7,81,76,11.14,VU,1714871397
355,newport,51.5877,-2.9984,10.37,86,49,0.69,GB,1714871254
356,yakakent,41.6325,35.5289,12.11,91,100,5.14,TR,1714871397
357,parabel',58.6978,81.4825,3.28,63,100,7.6,RU,1714871397
358,shingu,33.7333,135.9833,20.02,58,94,1.97,JP,1714871397
359,bredy,52.4153,60.3411,-0.42,68,0,2.56,RU,1714871397
360,'ain el hadjar,34.7585,0.1453,15.53,46,0,1.78,DZ,1714871397
